Location,Description,Depth (cm),#,pH,Fe,Fetotsd,Fe2,Fe2sd,Fe3,DOC,DOCsd,DTN,DTNsd,DIN,DINsd,DON,DONsd,C/Ndis,NH4,NH4sd,Mg,Mgsd,Ca,Casd,NO3,NO3sd,SO4,SO4sd
1,Burned 1,24,1,6.73,3.093,1.267809776,2.791,0.170233341,0.302,110.715,3.544532779,2.371,0.141998868,2.123,0.078893451,0.248,0.063105417,46.69548714,2.041,0.164372472,7.917,0.731155457,50.131,10.12054365,0.082,0.015788033,0.147,0.088900797
1,Burned 1,21,2,6.95,2.408,0.446472414,1.982,0.321101994,0.426,108.223,14.26935166,2.921,0.549924482,1.032,0.283268355,1.889,0.266656126,37.04998288,0.961,0.153144408,6.943,2.1797359,48.634,1.833566425,0.071,0.016612229,0.361,0.079489736
1,Burned 1,18,3,7.05,2.713,0.209592074,1.955,0.824955515,0.758,126.614,13.513635,1.918,0.126951821,1.221,0.071622854,0.697,0.055328967,66.01355579,1.162,0.185679547,5.581,0.399840331,46.175,4.396129232,0.059,0.016293886,1.123,0.440295664
1,Burned 1,15,4,7.12,1.804,0.24295533,1.667,0.947318401,0.137,125.032,1.468563958,1.459,0.186753945,0.789,0.108328008,0.67,0.078425937,85.69705278,0.727,0.266519044,4.711,1.179528508,24.367,6.661241785,0.062,0.029902071,1.75,0.290992282
1,Burned 1,12,5,7.1,1.762,0.285349033,0.931,0.17333268,0.831,124.559,8.218726395,1.834,0.110228049,0.63,0.057467649,1.204,0.052760401,67.91657579,0.616,0.194531377,2.668,0.12033626,22.927,4.979852131,0.064,0.004707248,2.59,0.775786119
1,Burned 1,9,6,7.29,2.448,0.234821587,1.145,0.246918012,1.303,95.457,11.35449446,1.465,0.102297823,1.127,0.088859627,0.338,0.013438196,65.15836177,0.523,0.116418698,2.539,0.43571127,21.173,1.242776007,0.604,0.075421431,2.43,0.37461036
1,Burned 1,6,7,7.43,2.639,0.652705446,0.928,0.295378572,1.711,93.761,11.55719867,2.291,1.267565096,1.034,0.676574398,1.257,0.590990698,40.9257966,0.329,0.19148537,3.146,0.797093497,20.312,5.345945456,0.705,0.0855837,2.981,0.698766061
1,Burned 1,3,8,7.41,3.341,1.101106496,0.823,0.048410388,2.518,93.421,9.600867166,3.291,0.306101088,1.271,0.170905554,2.02,0.135195534,28.38681252,0.18,0.048973115,4.667,1.231883621,30.834,5.587105567,1.091,0.035710021,3.457,0.955564458
1,Burned 1,0,9,7.58,2.868,0.462016578,0.391,0.039877385,2.477,84.153,7.459769845,3.127,0.841207001,1.991,0.464768238,1.136,0.376438762,26.91173649,0.114,0.088600427,3.454,0.146825068,31.283,1.241115215,1.877,0.088329476,3.332,0.650180133
2,Burned 2,24,1,6.89,3.834,0.099068417,3.313,0.640001096,0.521,167.467,17.85280766,1.231,0.033500122,1.187,0.017105014,0.044,0.016395109,136.0414297,1.176,0.385799359,6.991,1.106675738,42.691,3.993966835,0.011,0.000709905,0.122,0.079039422
2,Burned 2,21,2,6.93,3.567,1.013201988,2.991,0.864047168,0.576,161.192,14.75360031,1.428,0.15062877,0.964,0.080264021,0.464,0.070364749,112.8795518,0.899,0.16399,6.835,1.788373691,52.745,8.22952865,0.065,0.009899273,0.098,0.008310998
2,Burned 2,18,3,7.14,3.211,0.382479306,2.548,0.254967966,0.663,203.812,19.05654202,1.357,0.097185669,0.968,0.050378384,0.389,0.046807286,150.193073,0.875,0.150871319,5.471,0.152164604,50.781,3.562230443,0.093,0.003571098,0.179,0.04203478
2,Burned 2,15,4,7.15,2.73,0.568571529,2.028,0.876457234,0.702,190.257,23.99640726,1.279,0.080337471,1.082,0.046850227,0.197,0.033487245,148.7544957,0.991,0.155340035,5.672,1.776778584,51.923,1.703650798,0.091,0.013362982,0.687,0.133739766
2,Burned 2,12,5,7.11,2.257,0.270255703,1.376,0.205081993,0.881,121.523,10.29786841,2.183,1.351902397,0.658,0.682580856,1.525,0.669321542,55.66788823,0.551,0.18617293,6.081,1.938554446,55.321,5.309740159,0.107,0.013259314,1.507,0.383488344
2,Burned 2,9,6,7.44,1.842,0.031143537,1.053,0.632945318,0.789,114.513,9.238743888,3.586,1.699646774,0.521,0.880711486,3.065,0.818935288,31.93335192,0.312,0.11352518,7.345,1.797425378,68.557,10.94468516,0.209,0.061776198,1.991,0.385306512
2,Burned 2,6,7,7.51,3.118,0.342140785,1.025,0.168700118,2.093,110.623,6.293892909,3.089,1.789181065,1.05,0.901018014,2.039,0.888163051,35.81191324,0.241,0.044872845,6.491,1.388292688,61.766,1.15488478,0.809,0.012854964,2.907,0.60883726
2,Burned 2,3,8,7.59,2.66,0.714718307,0.889,0.157537867,1.771,109.257,4.70009323,3.118,0.195946532,1.135,0.116090076,1.983,0.079856456,35.04073124,0.357,0.020292623,5.672,1.188432759,55.576,10.92765814,0.778,0.03623362,3.126,0.923749715
2,Burned 2,0,9,7.71,3.774,0.90881635,1.223,0.133234741,2.551,103.703,0.692071385,3.237,1.090598788,1.134,0.549744695,2.103,0.540854093,32.03676243,0.249,0.071944308,5.431,1.553348643,58.73,5.502707346,0.885,0.008890602,2.871,0.927163293
3,Burned 3,24,1,6.77,3.07,0.347123221,2.823,0.144736264,0.247,93.417,2.361206775,1.697,0.672096387,0.657,0.349929953,1.04,0.322166434,55.04832057,0.579,0.069145526,7.82,1.851580618,47.87,4.712811959,0.078,0.027763519,0.209,0.029563259
3,Burned 3,21,2,6.72,3.582,0.204733062,3.157,0.537659804,0.425,95.621,18.21797006,1.646,0.603038731,0.7,0.31040972,0.946,0.292629012,58.09295261,0.609,0.086064434,7.145,2.749427357,40.96,1.361909594,0.091,0.017780708,0.593,0.088039971
3,Burned 3,18,3,6.88,2.892,0.956248755,2.503,0.696137193,0.389,104.833,13.05399298,1.325,0.195249823,0.904,0.105741395,0.421,0.089508428,79.11924528,0.821,0.036777726,6.128,2.859475912,35.42,4.829706465,0.083,0.016232968,0.693,0.095115665
3,Burned 3,15,4,6.94,3.411,0.366721089,2.639,0.585944934,0.772,118.417,17.4609249,1.66,0.66828759,0.45,0.340779906,1.21,0.327507684,71.33554217,0.341,0.074703069,6.617,0.841121328,29.38,10.9919423,0.109,0.013272222,1.577,0.444799203
3,Burned 3,12,5,6.98,3.614,0.664856167,2.771,0.405033239,0.843,152.695,11.1786156,1.899,0.516092413,0.768,0.299160993,1.131,0.21693142,80.40810953,0.447,0.041657189,6.121,0.573000136,31.7,5.225005082,0.321,0.082229572,1.787,0.16058913
3,Burned 3,9,6,7.16,2.822,0.471611574,2.048,0.346153078,0.774,143.678,6.07068148,1.466,0.252160191,0.798,0.173555404,0.668,0.078604787,98.00682128,0.489,0.064951991,5.591,0.3129657,30.91,9.888883632,0.309,0.094950617,1.839,0.068335363
3,Burned 3,6,7,7.39,3.345,0.46224231,2.548,0.9111883,0.797,104.822,9.025605503,1.397,0.173487315,1.12,0.108539565,0.277,0.06494775,75.03364352,0.312,0.044640429,4.091,1.090279205,20.91,0.619445084,0.808,0.043591815,2.315,0.515859771
3,Burned 3,3,8,7.55,5.282,0.057327376,3.421,0.160789977,1.861,78.897,10.22971931,2.43,1.269568785,1.033,0.651494931,1.397,0.618073854,32.46790123,0.228,0.049532267,3.432,0.439919059,12.38,2.372160769,0.805,0.033421078,3.336,0.493477211
3,Burned 3,0,9,7.62,5.812,1.814438024,2.931,0.781189594,2.881,83.823,13.14401257,2.281,0.765059679,1.117,0.396238901,1.164,0.368820777,36.74835598,0.121,0.064309162,3.636,0.934144087,11.16,4.213972652,0.996,0.027418124,3.124,0.276980805
4,Unburned,24,1,6.5,3.886,0.989584905,3.264,0.746334839,0.622,75.339,5.11895915,2.819,0.864674828,0.795,0.435617658,2.024,0.42905717,26.72543455,0.772,0.047006801,4.419,0.429604562,39.196,6.480372858,0.023,0.006560488,0.082,0.011546546
4,Unburned,21,2,6.62,3.866,1.231805848,3.622,0.27849823,0.244,79.821,14.8087457,2.367,1.629549327,0.959,0.823573011,1.408,0.805976316,33.72243346,0.875,0.110968238,4.618,1.065832415,31.695,7.017771251,0.084,0.017596694,0.341,0.07224268
4,Unburned,18,3,6.79,4.118,0.048136234,3.121,0.412588642,0.997,84.242,4.345377541,2.119,1.060478374,1.082,0.532109807,1.037,0.528368567,39.75554507,0.995,7.37E-05,3.599,0.620064633,30.667,8.890670556,0.087,0.003741239,0.971,0.292370612
4,Unburned,15,4,6.78,4.541,0.362735796,3.663,0.470302345,0.878,75.271,18.88157916,1.327,0.100598154,0.639,0.053118576,0.688,0.047479578,56.72268274,0.611,0.135434702,3.239,0.097901374,29.841,2.332089725,0.098,0.005638999,1.161,0.282294809
4,Unburned,12,5,6.85,3.681,0.555997803,2.339,0.010399525,1.342,73.997,8.490109947,1.318,0.095784992,0.68,0.051091583,0.638,0.044693408,56.14339909,0.642,0.059977093,2.137,0.238080485,34.825,3.987403393,0.078,0.006398175,1.255,0.47269992
4,Unburned,9,6,6.98,4.041,0.359009478,1.887,0.602681866,2.154,73.751,5.790613836,2.265,0.425345714,0.428,0.243035778,1.837,0.182309936,32.5611479,0.311,0.045051967,2.068,0.533704017,39.945,4.437776576,0.117,0.060725842,1.189,0.159978583
4,Unburned,6,7,7.03,3.844,0.956403638,1.957,0.068283931,1.887,75.713,19.5221197,3.117,1.721242391,0.358,0.881942747,2.759,0.839299644,24.29034328,0.237,0.03411001,2.135,0.230542385,34.176,8.70984651,0.121,0.042643103,1.238,0.465182331
4,Unburned,3,8,7.1,3.013,0.251973013,0.794,0.18444848,2.219,67.271,10.17873323,2.78,0.90146592,0.706,0.492551232,2.074,0.408914688,24.19820144,0.259,0.118826715,1.351,0.455306473,30.286,8.081084953,0.447,0.083636544,1.457,0.214960073
4,Unburned,0,9,7.22,4.506,1.182600392,0.844,0.136380005,3.662,65.132,7.117642849,3.282,1.948947379,0.69,1.001076923,2.592,0.947870456,19.84521633,0.219,0.023678864,1.672,0.470809409,31.237,9.695893582,0.471,0.053206467,1.376,0.271090295
